timestamp,China,Cruiseship,Japan,Korea
2020-01-11,41,0,0,0
2020-01-12,41,0,0,0
2020-01-13,41,0,0,0
2020-01-14,41,0,0,0
2020-01-15,41,0,0,0
2020-01-16,41,0,0,0
2020-01-17,45,0,0,0
2020-01-18,62,0,0,0
2020-01-19,121,0,0,0
2020-01-20,198,0,0,0
2020-01-21,291,0,1,1
2020-01-22,440,0,1,1
2020-01-23,571,0,1,1
2020-01-24,830,0,1,2
2020-01-25,1287,0,3,2
2020-01-26,1975,0,3,2
2020-01-27,2744,0,4,4
2020-01-28,4515,0,6,4
2020-01-29,5974,0,7,4
2020-01-30,7711,0,11,4
2020-01-31,9692,0,14,11
2020-02-01,11791,0,17,12
2020-02-02,14380,0,20,15
2020-02-03,17205,0,20,15
2020-02-04,20438,0,20,16
2020-02-05,24324,10,23,18
2020-02-06,28018,20,25,19
2020-02-07,31147,61,25,22
2020-02-08,34542,64,25,24
2020-02-09,37109,64,26,27
2020-02-10,40160,70,26,28
2020-02-11,42638,135,26,28
2020-02-12,44653,174,29,28
2020-02-13,58761,218,33,28
2020-02-14,63851,218,41,28
2020-02-15,66491,285,53,28
2020-02-16,68500,355,59,29
2020-02-17,70548,355,59,30
2020-02-18,72436,542,74,31
2020-02-19,74185,621,85,51
2020-02-20,75002,634,93,104
2020-02-21,75891,634,105,204
2020-02-22,76288,634,132,346
2020-02-23,76741,691,144,602
2020-02-24,77150,691,160,763
2020-02-25,77658,691,160,977
2020-02-26,78064,691,190,1261
2020-02-27,78497,691,190,1595
